"RANK","NAME","AGE","COMPANY","TITLE","GROUP"
1,"Indra Nooyi",52,"PepsiCo","CEO/Chairman",1
2,"Irene Rosenfeld",55,"Kraft Foods","CEO/Chairman",1
3,"Pat Woertz",55,"Archer Daniels Midland","CEO/Chairman",1
4,"Anne Mulcahy",55,"Xerox","CEO/Chairman",1
5,"Angela Braley",47,"Wellpoint","CEO/President",1
6,"Andrea Jung",50,"Avon Products","CEO/Chairman",1
7,"Susan Arnold",54,"Procter & Gamble","President",2
8,"Oprah Winfrey",54,"Harpo","Chairman",2
9,"Brenda Barnes",54,"Sara Lee","CEO/Chairman",1
10,"Ursula Burns",50,"Xerox","President",2
11,"Ann Livermore",50,"Hewlett-Packard","EVP",3
12,"Ann Sweeney",50,"Walt Disney","President",2
13,"Susan Desmond-Hellmann",51,"Genentech","President",2
14,"Ginni Rometty",51,"IBM","SVP",3
15,"Ellen Kullman",52,"DuPont","President",2
16,"Safra Catz",46,"Oracle","President",2
17,"Heidi Miller",55,"J.P. Morgan Chase","CEO",1
18,"Judy McGrath",56,"Viacom","CEO/Chairman",1
19,"Carol Meyrowitz",54,"TJX","CEO/President",1
20,"Ann Moore",58,"Time Inc.","CEO/Chairman",1
21,"Christna Gold",61,"Western Union","CEO/President",1
22,"Amy Brinkley",52,"Bank of America","Executive",3
23,"Susan Ivey",49,"Reynolds American","CEO/President",1
24,"Colleen Goggins",54,"Johnson & Johnson","Chairman",2
25,"Susan Chambers",51,"Wal-Mart","EVP",3
26,"Charlene Begley",41,"General Electric","CEO/President",1
27,"Barbara Desoer",55,"Bank of America","President",2
28,"Abigail Johnson",46,"Fidelity","President",2
29,"Pamela Nicholson",48,"Enterprise","COO/President",2
30,"Liz Smith",45,"Avon Products","President",2
31,"Joanne Maguire",54,"Lockheed Martin","EVP",3
32,"Carrie Cox",51,"Schering-Plough","EVP/President",3
33,"Cece Sutton",28,"Wachovia","EVP",3
34,"Cheryl Sandberg",39,"Facebook","COO",2
35,"Meredith Whitney",38,"Oppenheimer & Co.","Director",3
36,"Jan Fields",53,"McDonalds","EVP/COO",3
37,"Melanie Healey",47,"Procter & Gamble","President",2
38,"Lisa Weber",45,"MetLife","President",2
39,"Susan Decker",45,"Yahoo","President",2
40,"Claire Babrowski",51,"Toys "R" Us","EVP/COO",3
41,"Kathleen Murphy",45,"US Wealth Management","CEO",1
42,"Deirdre Connelly",48,"Eli Lilly","President",2
43,"Nancy Peretsman",54,"Allen & Co.","Director",3
44,"Sherilyn McCoy",49,"Johnson & Johnson","Chairman",2
45,"Gail Boudreaux",48,"United Health Group","EVP",3
46,"Lorrie Norrington",48,"eBay","CEO",1
47,"Terri Dial",58,"Citigroup","CEO",1
48,"Lynn Elsenhans",52,"Sunoco","CEO/President",1
49,"Cathie Black",64,"Hearst Magazines","President",2
50,"Marissa Mayer",33,"Google","VP",3
