PRICE,DOTEST,LBERATIO,STATUS,DISTRICT,NUMBIDS,DAYSEST,RDLNGTH,PCTASPH,PCTBASE,PCTEXC,PCTMOB,PCTSTRC,PCTTRAF,SUB
363,386,0.94,0,1,3,100,7.2,62.6,0,9.1,2,11.7,9.2,0
152,175,0.87,1,1,3,75,0,15.3,1.2,14.2,4.7,1.8,14.8,0
240,195,1.23,1,1,3,65,0.2,8.3,0,10.5,4.9,22.3,6,0
1559,1925,0.81,0,1,10,250,3.6,19,29.9,23.8,1.2,16.6,4.1,0
144,253,0.57,0,1,8,90,23.7,31.6,24.5,16,0.3,8.3,0.9,0
1187,1573,0.75,0,1,5,230,2.6,28.2,21.4,24.2,0.8,14.8,2.3,0
24,33,0.73,0,5,7,60,0.3,10.5,22.9,22,2.1,8.5,3.1,0
170,176,0.96,1,5,4,125,2.4,49.6,11.1,17.1,3.5,5.8,5,0
1082,1086,1,0,1,6,400,0,17.3,21.8,7.4,1,34.8,3.5,0
433,545,0.79,0,5,5,230,0,15.7,24,32.2,2.2,16.3,2.3,0
669,597,1.12,1,1,3,120,0.4,0,0,81.4,6.9,0,4.9,0
1884,1550,1.22,1,1,3,350,0,12,21.1,11.5,6.5,29.5,4.9,0
82,93,0.88,0,1,2,70,0,31.5,13.4,15.4,5.7,17.3,6.7,0
272,224,1.21,1,1,4,110,0,11.2,21,15.5,3.7,17.6,13.8,1
3300,2806,1.18,1,1,4,525,4.4,17.9,32.3,13.3,4.5,14.4,6.1,0
582,785,0.74,0,2,4,200,0,9.7,24.7,33.1,0.3,8.2,16.5,0
240,429,0.56,0,2,10,120,4.7,18.9,29.1,37.9,1.5,4.6,0.4,0
333,376,0.88,0,2,8,140,3.9,18,28.4,28.9,0.6,13.2,0.4,0
801,1031,0.78,0,2,8,425,0,17.6,21.8,32.6,0.4,8.3,0.3,0
1748,1493,1.17,0,2,6,445,0,15.7,14.8,28.2,0.3,27.4,2.1,0
6584,5949,1.11,0,1,7,675,,1.7,24.1,23.3,3.9,14.4,0,0
7098,8297,0.86,0,1,9,510,0,21,20.6,27.6,2.6,21.5,1.8,0
158,187,0.85,0,1,2,60,6.1,92.4,0,0,0,0,7.6,0
1354,1618,0.84,0,1,7,200,4.3,33,15.5,33,1.8,7.5,3.2,0
372,327,1.14,1,5,2,120,,52.2,3.7,10.4,10.5,3.8,7.8,0
4834,6225,0.78,0,5,8,520,0,91.2,0,2.1,1.3,0.5,2.8,1
268,308,0.87,0,1,6,75,6.6,92.6,0,3,0.6,0,0.6,0
127,138,0.93,0,5,4,30,,92.4,0,0,2.5,0,1.4,0
551,498,1.11,1,1,3,100,0.3,14.7,11.4,19.2,6.3,11.3,13.8,0
77,75,1.02,1,1,3,90,1.2,25.1,42.5,19.1,1.3,0.8,5.3,0
89,66,1.35,1,1,4,90,0,3.2,8,20.8,11.2,31.2,24.7,0
2558,2741,0.93,0,1,4,365,0,10.8,12.5,12,4.9,38.4,7.8,1
4765,5036,0.95,0,4,11,300,4.6,3.5,19.3,37.8,6.1,25.3,0.1,0
4771,7511,0.64,0,1,13,600,3.4,14.4,17.1,38.6,1.1,17.7,0.3,0
106,129,0.82,0,5,2,60,0.5,21.5,32.8,19.2,2.9,12.8,2.8,0
138,149,0.92,0,2,5,40,,98,0,0,1.1,0,0.9,0
148,162,0.91,0,2,4,40,,98,0,0,1,0,1,0
5412,5086,1.06,0,1,7,815,3.1,11.6,15,32.9,2.3,27.1,0.9,0
7622,7871,0.97,0,1,6,700,,3.2,14.2,37.2,1.8,19.1,0.9,0
110,120,0.92,0,5,5,70,1.1,51,22.1,9.1,0.8,5.8,5.4,0
608,809,0.75,0,5,4,185,,88.4,0.9,0.3,1.2,0,2.5,0
728,917,0.79,0,5,4,185,,88.7,0,4.7,1.5,0,0.8,0
182,146,1.24,0,5,3,135,0,27.7,12.7,11,1.2,29.2,5.4,0
649,564,1.15,1,5,3,140,16.4,77,0,6.1,3.9,0,3.9,0
123,95,1.29,0,5,4,120,0,1.7,0,20.9,4.1,37.8,4.9,0
1367,1434,0.95,0,5,8,475,0,14.4,27,12.6,0.7,22,3.9,1
471,448,1.05,0,2,8,150,0.7,15.1,16.3,11.4,1.3,27.9,4,0
65,85,0.77,0,2,7,60,12.2,75.1,0,11.6,1.5,0,1.5,0
