Xray,BedDays,Length,Hours
2463,472.9200134,4.449999809,566.5200195
2048,1339.75,6.920000076,696.8200073
3940,620.25,4.28000021,1033.150024
6505,568.3300171,3.900000095,1603.619995
5723,1497.599976,5.5,1611.369995
11520,1365.829956,4.599999905,1613.27002
5779,1687,5.619999886,1854.170044
5969,1639.920044,5.150000095,2160.550049
8461,2872.330078,6.179999828,2305.580078
20106,3655.080078,6.150000095,3503.929932
13313,2912,5.880000114,3571.889893
10771,3921,4.880000114,3741.399902
15543,3865.669922,5.5,4026.52002
34703,12446.33008,10.77999973,11732.16992
39204,14098.40039,7.050000191,15414.94043
86533,15524,6.349999905,18854.44922
